model_name,model_params,r2,mae,average_precisione,mse,rmse,explained_var
MLPRegressor,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}",0.9723741720527975,0.004853481339645402,0.03213151274922297,3.70128739832415e-05,0.006083820673165959,0.9729898601250507
MLPRegressor,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01, 'solver': 'lbfgs'}",0.9441608989137138,0.004832623144019839,0.029771187809659986,7.481280256266444e-05,0.008649439436325596,0.9450811101905228
GaussianProcessRegressor,"{'alpha': 1e-05, 'kernel': RBF(length_scale=1)}",0.8490763635465701,0.007799687094934149,0.04640771170349769,0.00020220633922065072,0.014219927539219414,0.8498636954926462
GaussianProcessRegressor,"{'alpha': 0.01, 'kernel': RBF(length_scale=1)}",0.8471174781920889,0.007730064324703212,0.045942916464211475,0.00020483083890665449,0.014311912482497037,0.847547997821301
SVR,"{'C': 1, 'coef0': 0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7913929896806601,0.009624541428907374,0.057307591664711985,0.0002794900844140084,0.01671795694497412,0.797283172813997
SVR,"{'C': 1, 'coef0': 0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7913929896806601,0.00962454142890737,0.05730759166471196,0.0002794900844140084,0.01671795694497412,0.7972831728139971
SVR,"{'C': 1, 'coef0': 0, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.787598044157686,0.010103873071538432,0.060560152721440184,0.00028457452353683054,0.016869336784142718,0.8044855797210536
DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7585227272727273,0.009999999999999998,0.0562185603708095,0.00032352941176470585,0.017986923354612536,0.7794421487603307
DecisionTreeRegressor,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7518760043617998,0.011764705882352941,0.06862721412894424,0.00033243464052287584,0.018232790256098374,0.7803496613865932
RandomForestRegressor,"{'bootstrap': False, 'max_depth': 4, 'n_estimators': 10}",0.7120017648071626,0.011970588235294115,0.06842393045247715,0.0003858578431372548,0.019643264574333227,0.7279166666666668
RandomForestRegressor,"{'bootstrap': False, 'max_depth': None, 'n_estimators': 20}",0.6681992510330577,0.011147058823529414,0.06161158598226074,0.00044454411764705904,0.021084214892830584,0.6893517561983469
GradientBoostingRegressor,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.6639143499076743,0.012712131113689396,0.07277344157256904,0.0004502849955562234,0.021219919782040256,0.6680138759800116
KNeighborsRegressor,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6632365015065342,0.01060288418578077,0.061256432250646746,0.0004511931716839791,0.021241308144367643,0.6632371097465144
GradientBoostingRegressor,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.6277360847925608,0.012365628959342824,0.06953340142821968,0.0004987563597519738,0.022332853820145195,0.6418847569599403
ElasticNet,"{'alpha': 0.1, 'fit_intercept': True, 'l1_ratio': 0.5, 'selection': 'random'}",0.6184458553084948,0.015431442187855889,0.09886190940478404,0.0005112033384932553,0.02260980624625641,0.6187011857695105
Lasso,"{'alpha': 0.1, 'fit_intercept': True, 'max_iter': 1000, 'selection': 'random'}",0.6176441941346091,0.01536409273655828,0.09710650720984107,0.0005122773980314165,0.022633545856348195,0.6183255184376166
Ridge,"{'alpha': 1, 'fit_intercept': False}",0.6090822014380204,0.016232210185834334,0.10629739570751262,0.0005237486906685071,0.022885556376643044,0.6092865732246961
Ridge,"{'alpha': 10, 'fit_intercept': True}",0.5923533465073654,0.014949007842548871,0.09213191136046871,0.0005461618831569141,0.023370106614153778,0.5925857346072548
RandomForestRegressor,"{'bootstrap': False, 'max_depth': 1, 'n_estimators': 20}",0.22559067454461113,0.023214285714285722,0.14277654778488938,0.0010375477190876353,0.0322109875521946,0.2627364964580874
KNeighborsRegressor,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.1745867768595042,0.021176470588235293,0.126510849780746,0.0011058823529411766,0.03325480947082958,0.17458677685950408
GradientBoostingRegressor,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 10, 'subsample': 0.8}",-0.11651496075745604,0.029391283317212656,0.18946203420148694,0.001495898245000993,0.03867684378282428,-0.11651426653154817
Ridge,"{'alpha': 100000, 'fit_intercept': False}",-0.12842406263555772,0.029624306112203236,0.19107843533338278,0.0015118539690397509,0.03888256638957556,-0.12842406256722838
ElasticNet,"{'alpha': 1, 'fit_intercept': False, 'l1_ratio': 0.9, 'selection': 'cyclic'}",-0.12890625,0.02963235294117647,0.19113439964975434,0.0015125000000000002,0.038890872965260115,-0.12890625
Lasso,"{'alpha': 1, 'fit_intercept': False, 'max_iter': 1000, 'selection': 'cyclic'}",-0.12890625,0.02963235294117647,0.19113439964975434,0.0015125000000000002,0.038890872965260115,-0.12890625
DecisionTreeRegressor,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 20}",-0.12890625000000022,0.02963235294117647,0.19113439964975432,0.0015125000000000004,0.03889087296526012,-0.12890625000000022
