model_name,model_params,r2,mae,average_precisione,mse,rmse,explained_var
RandomForestRegressor,"{'bootstrap': False, 'max_depth': 2, 'n_estimators': 300}",0.2934774947719877,0.9095081878905399,0.22868571071511481,1.7627110658513858,1.3276712943539097,0.3358328961872502
RandomForestRegressor,"{'bootstrap': False, 'max_depth': 2, 'n_estimators': 200}",0.29347749477198737,0.9095081878905398,0.2286857107151148,1.7627110658513863,1.3276712943539097,0.33583289618724976
KNeighborsRegressor,"{'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.14016044283353757,0.8976470588235292,0.22960130254992547,2.1452235294117643,1.4646581612826128,0.19948063144165817
MLPRegressor,"{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.1, 'solver': 'adam'}",0.07942839349482445,1.0901043472253047,0.31201195829587736,2.296744612787068,1.5155014393879895,0.08140114764408268
GradientBoostingRegressor,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.07677855917091725,1.133899282286735,0.30723144262664825,2.303355714699408,1.5176810319363578,0.08078640507433466
SVR,"{'C': 10, 'coef0': 0, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.05027008062408711,1.0762999741196144,0.253535465666993,2.369492020517864,1.5393154389266237,0.09864186591414681
GradientBoostingRegressor,"{'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 10, 'subsample': 0.8}",0.04335356745522967,1.1552304657468235,0.29969883078641063,2.3867481082003326,1.5449103884045614,0.09912573391609869
DecisionTreeRegressor,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.004191369652538857,1.2553095238095238,0.3271364496181799,2.484454322679071,1.5762151892045295,0.005568979198965152
DecisionTreeRegressor,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",-0.007041781449963258,1.2693711484593835,0.3402723033763345,2.5124800396325186,1.5850804521009394,0.020989298638740217
GaussianProcessRegressor,"{'alpha': 1e-10, 'kernel': RBF(length_scale=1)}",-0.10033010161453348,1.1677719445134351,0.31280383269694806,2.7452261348410585,1.6568723954611164,-0.09901870884080632
GaussianProcessRegressor,"{'alpha': 1e-05, 'kernel': Matern(length_scale=1, nu=1.5)}",-0.1003852730593322,1.1426039461546982,0.30128089793907586,2.7453637827086723,1.6569139334041079,-0.09442755218827914
GaussianProcessRegressor,"{'alpha': 0.01, 'kernel': Matern(length_scale=1, nu=1.5)}",-0.11899547204567895,1.1352768560191264,0.2971633613761881,2.791794580663711,1.6708664161636952,-0.10980393743292338
